Export_country,Import_country,Year,Quarter,Month,Nominal Value (SUM),Tons (SUM),Price,Period
Thailand,Malaysia,2017,1,6,996159.451190949,806.9049574195091,3687.4048168997897,17
Thailand,Malaysia,2017,2,15,811957.725662231,899.607286442299,3011.910144443106,18
Thailand,Malaysia,2017,3,24,1169813.911808968,982.2866011760741,3591.9395256318912,19
Thailand,Malaysia,2017,4,33,1203674.850708008,926.4006434634621,3828.7715577863,20
Thailand,Malaysia,2018,1,6,3826393.721588135,5789.457763286448,3826.799761869008,21
Thailand,Malaysia,2018,2,15,13552243.39764822,21485.05319871749,2401.4493162898184,22
Thailand,Malaysia,2018,3,24,11987609.332503501,18172.45489945515,2020.6274386101663,23
Thailand,Malaysia,2018,4,33,6173421.656494145,9616.132484039195,2586.878706529188,24
Thailand,Malaysia,2019,1,6,1262668.036346435,1069.843205511014,4538.649280967227,25
Thailand,Malaysia,2019,2,15,599255.983865812,372.2882629721771,4829.395745024554,26
Thailand,Malaysia,2019,3,24,1102095.432173014,913.465607212928,3680.241309084313,27
Thailand,Malaysia,2019,4,33,796819.958006859,517.383984775769,4606.692887472008,28
Thailand,Malaysia,2020,1,6,736300.355847538,493.625008506785,4192.050801010315,29
Thailand,Malaysia,2020,2,11,760990.321777344,909.457150816388,1648.365653829384,30
Thailand,Malaysia,2020,3,24,3251575.3306938848,4895.92626432675,2023.2537090085589,31
Thailand,Malaysia,2020,4,33,5545451.583480835,8562.870450829758,2244.1125753473016,32
Thailand,Malaysia,2021,1,6,5240074.99328869,5784.727498447471,2734.3231278702897,33
Thailand,Malaysia,2021,2,15,4831102.70373535,4295.1962566596,3325.740812149107,34
Thailand,Malaysia,2021,3,24,7483620.43475366,6087.76811820621,3712.391180886715,35
Thailand,Malaysia,2021,4,33,5719740.898950577,4590.32748827717,4339.110675006133,36
Thailand,Malaysia,2022,1,6,7750649.66799831,6784.85261471913,3428.0345865008903,37
Thailand,Malaysia,2022,2,15,11497099.482814789,10714.96437639456,3198.544222144401,38
Thailand,Malaysia,2022,3,24,7549275.9591713,8131.652131823779,2778.1371319877303,39
Thailand,Malaysia,2022,4,33,6323535.34579909,8305.60318572052,2276.1619656812327,40
Thailand,Malaysia,2023,1,6,8134821.8303718595,10686.25396470972,2280.304973803824,41
Thailand,Malaysia,2023,2,15,4536509.806121823,5338.94075939093,2816.9045728161645,42
Thailand,Malaysia,2023,3,24,6641579.95106572,8798.82286807226,2271.3175920931967,43
Thailand,Mexico,2013,4,23,26712.5607910156,13.202,4039.1834141360814,4
Thailand,Mexico,2014,3,9,28354.822265625,15.88,1785.568152747166,7
Thailand,Mexico,2017,1,3,47466.0771484375,22.144,2143.518657353572,17
Thailand,Mexico,2017,2,11,836390.549316406,942.1120000000001,1778.193232159281,18
Thailand,Mexico,2017,4,22,278729.265625,154.264,3812.267768366436,20
Thailand,Mexico,2018,1,3,448934.156671047,242.006813659396,1855.047590944624,21
Thailand,Mexico,2018,2,15,534141.2440795907,313.67,5400.014140705295,22
Thailand,Mexico,2018,3,24,874643.618164063,506.156,5159.24556808829,23
Thailand,Mexico,2018,4,33,1612512.00213623,921.5699999999999,5291.173076485327,24
Thailand,Mexico,2019,1,4,1028040.415527344,597.819,3454.5039497718953,25
Thailand,Mexico,2019,2,15,677029.8214111329,531.947,3515.5623904340646,26
Thailand,Mexico,2019,3,24,909371.2109375009,594.588,4569.076263233447,27
Thailand,Mexico,2019,4,33,808285.4016113289,578.188,4147.312830196204,28
Thailand,Mexico,2020,1,6,882331.415893554,616.096,4224.282826511184,29
Thailand,Mexico,2020,3,9,307936.100219727,298.306,1032.2826232785362,31
Thailand,Mexico,2020,4,10,180495.953125,132.0,1367.393584280303,32
Thailand,Mexico,2021,1,3,423757.148925781,264.002,3210.255186152516,33
Thailand,Mexico,2021,2,15,635696.542678833,378.001,5121.621707297053,34
Thailand,Mexico,2021,3,24,587436.767150879,282.986,6017.268054875325,35
Thailand,Mexico,2021,4,10,76998.3061523438,40.03,1923.515017545436,36
Thailand,Mexico,2022,3,8,158488.84375,72.554,2184.42599649916,39
Thailand,Mexico,2022,4,22,1195602.60546875,574.674,4150.785403997309,40
Thailand,Mexico,2023,1,6,614350.578125,296.0,6238.263624101532,41
Thailand,Mexico,2023,2,15,669117.83203125,343.0,5843.253363820651,42
Thailand,Mexico,2023,3,24,1594739.672241211,1047.81,4613.492428480125,43
Thailand,Netherlands,2015,4,12,4573.3798828125,4.97700023651123,918.9028863736484,12
Thailand,Netherlands,2016,1,5,303587.5078125,150.2280006408692,3790.629432730293,13
Thailand,Netherlands,2016,2,15,145281.408203125,113.2090034484863,3569.936788385074,14
Thailand,Netherlands,2016,3,15,291735.7265625,147.1139984130863,3729.5782677910756,15
Thailand,Netherlands,2016,4,10,132039.140625,93.4260025024414,1413.3018334114165,16
Thailand,Netherlands,2017,1,3,99368.5703125,44.1370010375977,2251.366607981675,17
Thailand,Netherlands,2017,2,4,53889.27734375,24.3090000152588,2216.844679333729,18
Thailand,Netherlands,2017,3,7,2650.7470703125,1.60199999809265,1654.6486101551147,19
Thailand,Netherlands,2017,4,11,104221.4765625,46.2859992980957,2251.6847025659413,20
Thailand,Netherlands,2018,1,1,113873.634422302,52.9321440288769,2151.3134695654635,21
Thailand,Netherlands,2018,2,4,50697.1875,25.8939990997314,1957.8739963934688,22
Thailand,Netherlands,2019,1,2,116129.78125,55.5110015869141,2092.013797808611,25
Thailand,Netherlands,2019,2,4,202143.470214844,89.4030020753853,2261.036716019839,26
Thailand,Netherlands,2019,3,8,21648.130859375,10.8760004043579,1990.449618841576,27
