Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
Azerbaijan,Switzerland,544312.712890625,325.58000000000004,1671.8247831274186
Azerbaijan,Turkey,223413399.80192068,422787.3510675056,528.4297158791979
Azerbaijan,Turkmenistan,33249.94921875,22.931,1449.9999659303999
Azerbaijan,Ukraine,1443552.861328125,1256.77,1148.62135579949
Azerbaijan,United States,1125658.0,722.6800000000001,1557.6160956439917
Bahamas,Finland,514.140014648438,0.400000005960464,1285.3500174678886
Bahamas,Ghana,99254.21875,123.3353828125,804.7505629498935
Bahamas,Italy,2319.06518554688,1.69,1372.2279204419408
Bahamas,Norway,452.353240966797,0.241,1876.984402351855
Bahamas,United States,21156.0,20.12,1051.4910536779323
Bahrain,Argentina,595121.6875,513.0,1160.0812621832358
Bahrain,Canada,1530548.4053273203,1456.1606217827252,1051.0848751379672
Bahrain,China (mainland),73560498.0,110346.967,666.6290882285872
Bahrain,France,115092.72961425781,99.07999980449677,1161.6141485805122
Bahrain,Germany,1315343.484375,1289.2999992370605,1020.199709263438
Bahrain,India,16506051.961036682,41847.237432545284,394.43588092626766
Bahrain,Indonesia,128467507.0,229480.505,559.8188264401806
Bahrain,Iran,289254.0,350.0,826.44
Bahrain,Ireland,78.31150341033933,0.060000000000000005,1305.1917235056553
Bahrain,Italy,4443238.27734375,3356.555,1323.7495817419199
Bahrain,Japan,2114720.00390625,2571.69,822.3075113665527
Bahrain,Malaysia,51302291.72631836,99955.43993882074,513.2516225001732
Bahrain,Mexico,219543.0,235.29743089430895,933.0446115181533
Bahrain,Netherlands,95546.43408203125,99.0400009155273,964.7256986954618
Bahrain,Peru,4070.44091796875,1.999,2036.2385782735116
Bahrain,Philippines,103950945.0,201006.277,517.1527305090079
Bahrain,Qatar,139611567.90531918,385453.64941566053,362.2006643781096
Bahrain,Romania,61833.232421875,63.0,981.4798797123016
Bahrain,Singapore,109682.04296875,50.5099983215332,2171.4917167595872
Bahrain,Slovenia,4889.80212402344,4.25999999046326,1147.8408767535445
Bahrain,South Africa,214247.421875,96.0,2231.7439778645835
Bahrain,South Korea,26362534.0,76661.462,343.8824842656927
Bahrain,Spain,1171563.859375,1400.0,836.831328125
Bahrain,Sweden,243818.875,216.0,1128.791087962963
Bahrain,Taiwan,16635646.546875,30190.0,551.0316842290493
