Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
South Korea,Austria,8289.029,8289.029,8469.964,8466.319
South Korea,Belgium,8722.114,8722.114,8817.223,8815.203
South Korea,Brazil,18364.51,17565.08,17793.04,17741.18
South Korea,Canada,10617.7,10528.16,10032.81,9919.805
South Korea,China (mainland),955.6511,955.6511,1168.165,999.2522
South Korea,Germany,8543.784,8139.991,8503.73,8497.744
South Korea,Spain,10012.64,10012.64,10101.71,10087.7
South Korea,France,8981.467,8981.467,9225.815,9220.22
South Korea,United Kingdom,8875.39,8875.39,8931.778,8928.762
South Korea,Indonesia,5291.684,5291.684,5081.576,5063.601
South Korea,India,4692.672,4692.672,5108.001,5055.012
South Korea,Iran,6562.448,6562.448,6677.31,6662.005
South Korea,Italy,8982.659,8982.659,9047.517,9043.907
South Korea,Japan,1156.67,1156.67,951.7373,843.8443
South Korea,South Korea,118.6343,118.6343,154.9785,55.62441
South Korea,Mexico,12066.01,12066.01,11711.42,11669.87
South Korea,Malaysia,4614.067,4614.067,4418.149,4395.557
South Korea,Netherlands,8573.183,8573.183,8679.861,8677.605
South Korea,Russia,6614.064,6614.064,6009.905,5304.06
South Korea,Slovakia,8246.657,8246.657,8205.849,8202.305
South Korea,Sweden,7445.181,7445.181,7682.775,7674.148
South Korea,Taiwan,1475.758,1475.758,1520.398,1507.086
South Korea,Ukraine,7309.346,7309.346,7327.559,7318.468
South Korea,United States,11065.7,11185.97,10682.86,10624.66
South Korea,Vietnam,2740.135,2740.135,3257.774,3207.427
South Korea,South Africa,13723.41,12457.03,12792.46,12774.99
Mexico,Austria,10163.51,10163.51,10003.11,9996.639
Mexico,Belgium,9259.353,9259.353,9163.235,9157.327
Mexico,Brazil,7439.636,6841.765,7621.779,7513.793
Mexico,Canada,3267.29,3609.244,3442.775,3373.224
Mexico,China (mainland),12467.17,12467.17,12411.55,12332.45
Mexico,Germany,9399.781,9739.229,9475.768,9467.1
Mexico,Spain,9073.951,9073.951,9144.438,9131.799
Mexico,France,9206.813,9206.813,9276.133,9264.167
Mexico,United Kingdom,8938.404,8938.404,8734.488,8726.294
Mexico,Indonesia,16863.46,16863.46,16272.36,16234.13
Mexico,India,14673.66,14673.66,15076.04,15037.92
Mexico,Iran,13163.93,13163.93,13073.69,13057.93
Mexico,Italy,10254.87,10254.87,10108.35,10095.18
Mexico,Japan,11312.39,11312.39,11098.87,11044.71
Mexico,South Korea,12066.01,12066.01,11711.42,11669.87
Mexico,Mexico,527.5446,527.5446,706.2287,77.51527
Mexico,Malaysia,16641.12,16641.12,16024.15,15982.06
Mexico,Netherlands,9229.362,9229.362,9153.143,9146.999
Mexico,Russia,10736.3,10736.3,10815.05,10778.4
Mexico,Slovakia,10216.82,10216.82,10185.72,10179.21
Mexico,Sweden,9597.715,9597.715,9357.389,9347.76
Mexico,Taiwan,13405.0,13405.0,13123.62,13085.85
Mexico,Ukraine,10831.55,10831.55,10933.32,10919.63
Mexico,United States,3369.053,3037.916,2468.405,1623.72
Mexico,Vietnam,14772.0,14772.0,14939.15,14896.75
Mexico,South Africa,13719.26,14615.26,14785.83,14753.67
Malaysia,Austria,9410.919,9410.919,9626.781,9611.155
Malaysia,Belgium,10261.22,10261.22,10376.13,10364.83
Malaysia,Brazil,15940.63,16420.49,16193.42,16164.04
Malaysia,Canada,14825.78,14623.82,14119.47,14062.35
Malaysia,China (mainland),4355.047,4355.047,3879.04,3736.573
Malaysia,Germany,10070.46,9623.965,9986.959,9972.264
